artist_1,artist_2,count,song_id
Justin Jesso,Kygo,1,0Zbbxnx4SGGHoIow4PpISP
Alok,Bruno Martini,1,1a5Yu5L18qNxVhXx38njON
Alok,Zeeba,1,1a5Yu5L18qNxVhXx38njON
Bruno Martini,Zeeba,1,1a5Yu5L18qNxVhXx38njON
Drake,Quavo,1,2bjwRfXMk4uRgOD9IBYl9h
Drake,Travis Scott,1,2bjwRfXMk4uRgOD9IBYl9h
Calvin Harris,DRAM,1,0Ws8D3EWUDgY962Xftb0h5
Calvin Harris,PARTYNEXTDOOR,1,0Ws8D3EWUDgY962Xftb0h5
Calvin Harris,ScHoolboy Q,1,0Ws8D3EWUDgY962Xftb0h5
DRAM,PARTYNEXTDOOR,1,0Ws8D3EWUDgY962Xftb0h5
DRAM,ScHoolboy Q,1,0Ws8D3EWUDgY962Xftb0h5
PARTYNEXTDOOR,ScHoolboy Q,1,0Ws8D3EWUDgY962Xftb0h5
Beyoncé,DJ Khaled,1,3OoZagIW3YK8vjt0ws6NOI
DJ Khaled,JAY-Z,1,3OoZagIW3YK8vjt0ws6NOI
Marshmello,Selena Gomez,1,7EmGUiUaOSGDnUUQUDrOXC
DJ Snake,Major Lazer,1,4WjH9Bzt3kx7z8kl0awxh4
DJ Snake,MØ,1,4WjH9Bzt3kx7z8kl0awxh4
PON CHO,Paige IV,1,2TdJsyNijI5jUvMnsjQcb3
Ariana Grande,Future,1,3FiE2d325mIOc4YjkSLVJR
Elliphant,Peking Duk,1,0jVPEBd4wyHupkTHwzQRyc
CADE,Cheat Codes,1,1NDxZ7cFAo481dtYWdrUnR
CADE,Maggie Lindemann,1,1NDxZ7cFAo481dtYWdrUnR
Cheat Codes,Maggie Lindemann,1,1NDxZ7cFAo481dtYWdrUnR
Justin Bieber,Major Lazer,1,6DNtNfH8hXkqOX1sjqmI7p
Justin Bieber,MØ,1,6DNtNfH8hXkqOX1sjqmI7p
Khalid,Marshmello,1,7vGuf3Y35N4wmASOKLUVVU
Flume,Kai,1,12REd1n8PeiHHWOh066tpr
Daya,Gryffin,1,0NyOeqzqjVM9j7IuWp2oJ6
Daya,ILLENIUM,1,0NyOeqzqjVM9j7IuWp2oJ6
Gryffin,ILLENIUM,1,0NyOeqzqjVM9j7IuWp2oJ6
DRAM,Lil Yachty,1,7yyRTcZmCiyzzJlNzGC9Ol
Kendrick Lamar,U2,1,4iYRa2btalAzPZoSYfROqF
Bebe Rexha,Lil Wayne,1,6Pw3Gvw4wNMZfTYZa6IQal
Cash Cash,Conor Maynard,1,1839RWzPRZCVgvamu4sHSN
Charlie Puth,G-Eazy,1,3qk4wRMDlaeagZGjSYbsOV
Galantis,Hook N Sling,1,2MHCiOohBZEQuLgDTPvSzF
Eminem,Kehlani,1,6Ww0J5EFjiPxkgZpEkRQVN
2 Chainz,Chance the Rapper,1,0v9Wz8o0BT8DU38R4ddjeH
2 Chainz,Lil Wayne,1,0v9Wz8o0BT8DU38R4ddjeH
Alison Wonderland,M-Phazes,1,5yRDS8rO2nWrNxcVcsCPl4
Ed Sheeran,Future,1,2x0WlnmfG39ZuDmstl9xfX
Ed Sheeran,Taylor Swift,1,2x0WlnmfG39ZuDmstl9xfX
Future,Taylor Swift,1,2x0WlnmfG39ZuDmstl9xfX
DJ Snake,Lauv,1,0Wv5wuenRLI3BcwgT3HPIP
BloodPop®,Justin Bieber,1,7nZmah2llfvLDiUjm0kiyz
Ariana Grande,John Legend,1,1KT0xdIjm7t053xByACrrg
Afrojack,Charli XCX,1,0tPQPaOKM32WgMSbPCYyRH
Afrojack,David Guetta,1,0tPQPaOKM32WgMSbPCYyRH
Afrojack,French Montana,1,0tPQPaOKM32WgMSbPCYyRH
Charli XCX,David Guetta,1,0tPQPaOKM32WgMSbPCYyRH
Charli XCX,French Montana,1,0tPQPaOKM32WgMSbPCYyRH
David Guetta,French Montana,1,0tPQPaOKM32WgMSbPCYyRH
Hilltop Hoods,Montaigne,1,6oSmp7qnvAxUXeUKhl67a6
Hilltop Hoods,Tom Thum,1,6oSmp7qnvAxUXeUKhl67a6
Montaigne,Tom Thum,1,6oSmp7qnvAxUXeUKhl67a6
